QuestionNum,Question,Answer1,Answer2,Answer3,Answer4,Correctanswer,QuizID,FinalQ,Random word,
1,-ne,(introduces question),"take, catch, capture, make (a plan)","go back, return",throw,a,LLC,n,(introduces question),
2,-que ,"at once, immediately",and,"fierce, ferocious","willingly, gladly",b,LLC,n,and,
3,"a, ab ",slave,"from, away from, by (as prefix = away)",but,brother,b,LLC,n,"from, away from, by (as prefix = away)",
4,absum ,"in this way, to such an extent, so","shout, shouting, noise","be absent, be away, be distant from",arrive,c,LLC,n,"be absent, be away, be distant from",
5,"ac, atque ",across,"willingly, gladly","few, a few",and,d,LLC,n,and,
6,accido ,happen,"favour, support","ask, ask for",year,a,LLC,n,happen,
7,accipio ,"much, many",invite,"not any, no","accept, take in, receive",d,LLC,n,"accept, take in, receive",
8,ad ,(introduces question),"to, towards, at","ferocious","I, me",b,LLC,n,"to, towards, at",
9,adeo ,decide,"leave, leave behind","so much, so greatly, to such an extent","freedman, ex-slave",c,LLC,n,"so much, so greatly, to such an extent",
10,adsum ,"be here, be present",give,sad,"comrade, companion",a,LLC,n,"be here, be present",
11,advenio ,"make for, seek, beg/ask for",arrive,"in this way, to such an extent, so",walk,b,LLC,n,arrive,
12,aedifico ,"be silent, be quiet",build,"so much, so greatly, to such an extent","among, between",b,LLC,n,build,
13,ager ,"laugh, smile",woman,field,"want, desire",c,LLC,n,field,
14,ago ,"encourage, urge","island, block of flats","search for, look for, ask","do, act, drive",d,LLC,n,"do, act, drive",
15,alii ... alii ,some ... others,"empire, power, command",for,,a,LLC,n,some ... others,
16,alius ,"who, which",build,boy,"other, another, else",d,LLC,n,"other, another, else",
17,alter ,"miserable, wretched, sad","the other, another, one (of two), the second (of two)",what sort of?,body,b,LLC,n,"the other, another, one (of two), the second (of two)",
18,altus ,difficult,camp,"high, deep",night,c,LLC,n,"high, deep",
19,ambulo ,walk,love,come,whether,a,LLC,n,walk,
20,amicus ,with,friend,"and, even","go back, return",b,LLC,n,friend,
21,amo ,help,"love, like","seem, appear","weep, cry",b,LLC,n,"love, like",
22,amor ,king,"feel, notice",love,"under, beneath",c,LLC,n,love,
23,ancilla,"who, which","one, a certain, some",punishment,"slave-girl, slave-woman",d,LLC,n,"slave-girl, slave-woman",
24,animus ,"spirit, soul, mind","bring, carry, bear",promise,dreadful,a,LLC,n,"spirit, soul, mind",
25,annus ,"advance, proceed",good,"work, toil",year,d,LLC,n,year,
26,antea,shout,before,middle,"he/she says, he/she said",b,LLC,n,before,
27,appropinquo ,how?,set free,"approach, come near to",huge,c,LLC,n,"approach, come near to",
28,aqua ,water,"man, human being","bold, daring",slow,a,LLC,n,water,
29,arma ,sword,"arms, weapons","not any, no",how?,b,LLC,n,"arms, weapons",
30,ars ,nothing,"art, skill",new,"than, how ... ? how ... !",b,LLC,n,"art, skill",
31,ascendo ,meanwhile,set out,climb,"go down, come down",c,LLC,n,climb,
32,audax ,war,"want, wish, be willing","hear, listen to","bold, daring",d,LLC,n,"bold, daring",
33,audeo,dare,"wait for, expect","than, how ... ? how ... !",,a,LLC,n,dare,
34,audio ,"leave, leave behind","after, behind",why?,"hear, listen to",d,LLC,n,"hear, listen to",
35,aufero ,"to, towards, at","take away, carry off, steal",ship,build,b,LLC,n,"take away, carry off, steal",
36,auxilium ,across,"this, that, he, she, it, them",help,food,c,LLC,n,help,
37,bellum ,war,"fierce, ferocious","through, along","overcome, overpower",a,LLC,n,war,
38,bene ,"comrade, companion",well,"freedman, ex-slave",mother,b,LLC,n,well,
39,bibo,well,drink,hope,"go back, return",b,LLC,n,drink,
40,bonus ,happen,"evil, bad",good,"willingly, gladly",c,LLC,n,good,
41,brevis ,"work, toil","leave, leave behind",danger,"short, brief",d,LLC,n,"short, brief",
42,cado ,fall,"few, a few",destroy,,a,LLC,n,fall,
43,caelum ,"prize, reward, profit","wound, injure","from, out of, out","sky, heaven",d,LLC,n,"sky, heaven",
44,capio ,army,"take, catch, capture, make (a plan)","no one, nobody",in vain,b,LLC,n,"take, catch, capture, make (a plan)",
45,captivus,"faithful, loyal","conquer, win, be victorious","captive, prisoner",drag,c,LLC,n,"captive, prisoner",
46,caput ,head,"speak, talk",you (plural),"spirit, soul, mind",a,LLC,n,head,
47,castra ,"once, some time ago",camp,death,around,b,LLC,n,camp,
48,celer ,"sky, heaven","quick, fast","want, wish, be willing",guard,b,LLC,n,"quick, fast",
49,celo ,"all, every",before,hide,if,c,LLC,n,hide,
50,cena ,go out,"burn, set on fire","hope, expect","dinner, meal",d,LLC,n,"dinner, meal",
51,ceteri ,"the rest, the others",field,horse,garden,a,LLC,n,"the rest, the others",
52,cibus ,"owe, ought, should, must","catch sight of, notice",to where?,food,d,LLC,n,food,
53,circum ,garden,around,whether,army,b,LLC,n,around,
54,civis ,follow,there,citizen,again,c,LLC,n,citizen,
55,clamo ,shout,call,"go back, come back, return","short, brief",a,LLC,n,shout,
56,clamor ,"bring/carry back, report, tell","shout, shouting, noise",give,think,b,LLC,n,"shout, shouting, noise",
57,clarus,as soon as,"famous, clear","put, place, set up","stupid, foolish",b,LLC,n,"famous, clear",
58,coepi,how many?,garden,began,head,c,LLC,n,began,
59,cogito ,home,for a long time,move,"think, consider",d,LLC,n,"think, consider",
60,cognosco ,"get to know, find out",send,escape,"who, which",a,LLC,n,"get to know, find out",
61,cogo ,"courage, virtue",day,"some, several","force, compel",d,LLC,n,"force, compel",
62,comes ,think,"comrade, companion",war,punish,b,LLC,n,"comrade, companion",
63,conficio ,"so great, such a great","run away, flee","finish, wear out",if,c,LLC,n,"finish, wear out",
64,conor ,try,across,"shop, inn",eat,a,LLC,n,try,
65,consilium ,water,"plan, idea, advice",mother,"beautiful, handsome",b,LLC,n,"plan, idea, advice",
66,conspicio ,by chance,"catch sight of, notice",at the same time,on the next day,b,LLC,n,"catch sight of, notice",
67,constituo ,"approach, come near to",brother,decide,king,c,LLC,n,decide,
68,consul,brother,letter,brave,consul,d,LLC,n,consul,
69,consumo ,eat,"thing, matter, event","faithful, loyal",arrive,a,LLC,n,eat,
70,contra,"among, between","take, catch, capture, make (a plan)",queen,against,d,LLC,n,against,
71,convenio ,prefer,"come together, gather, meet",near,throw,b,LLC,n,"come together, gather, meet",
72,copiae ,children,"unlucky, unhappy","forces, troops",why?,c,LLC,n,"forces, troops",
73,corpus ,body,"forces, troops","think, consider","himself, herself, itself, themselves",a,LLC,n,body,
74,cras,"captive, prisoner",tomorrow,"no one, nobody",mistress,b,LLC,n,tomorrow,
75,credo ,"order, command","believe, trust","dinner, meal","approach, come near to",b,LLC,n,"believe, trust",
76,crudelis ,happen,send,cruel,and,c,LLC,n,cruel,
77,cum ,"not want, refuse","bring/carry back, report, tell","come together, gather, meet","when, since",d,LLC,n,"when, since",
78,cum ,with,"unlucky, unhappy",come,"quick, fast",a,LLC,n,with,
79,cupio ,"overcome, overpower",book,slave,"want, desire",d,LLC,n,"want, desire",
80,cur?,"owe, ought, should, must",why?,(introduces question),"wait for, expect",b,LLC,n,why?,
81,cura ,punish,"spirit, soul, mind","care, worry","now, already",c,LLC,n,"care, worry",
82,curro ,run,"courage, virtue",part,"comrade, companion",a,LLC,n,run,
83,custodio,cruel,guard,temple,go,b,LLC,n,guard,
84,custos ,"not want, refuse",guard,"into, onto",climb,b,LLC,n,guard,
85,de ,go out,"go back, return","from, down from, about",hurry,c,LLC,n,"from, down from, about",
